model,image_path,source,label_name,label,original_width,original_height,aigc_probability,threshold,pred,pred_name,correct,error_type,error_rank
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img160570.jpg,COCO_val2017,real,0,200,200,0.9999891519546509,0.55657113,1,fake,0,false_positive,1
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img160848.jpg,COCO_val2017,real,0,200,200,0.9996065497398376,0.55657113,1,fake,0,false_positive,2
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img159793.jpg,COCO_val2017,real,0,200,200,0.9994751811027527,0.55657113,1,fake,0,false_positive,3
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img160152.jpg,COCO_val2017,real,0,200,200,0.9993064403533936,0.55657113,1,fake,0,false_positive,4
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img161482.jpg,COCO_val2017,real,0,200,200,0.9989019632339478,0.55657113,1,fake,0,false_positive,5
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img159896.jpg,COCO_val2017,real,0,200,200,0.9981157779693604,0.55657113,1,fake,0,false_positive,6
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img159044.jpg,COCO_val2017,real,0,200,200,0.9911933541297913,0.55657113,1,fake,0,false_positive,7
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img159010.jpg,COCO_val2017,real,0,200,200,0.9907989501953125,0.55657113,1,fake,0,false_positive,8
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img159226.jpg,COCO_val2017,real,0,200,200,0.9902499318122864,0.55657113,1,fake,0,false_positive,9
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img161609.jpg,COCO_val2017,real,0,200,200,0.9790388941764832,0.55657113,1,fake,0,false_positive,10
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img159091.jpg,COCO_val2017,real,0,200,200,0.977218747138977,0.55657113,1,fake,0,false_positive,11
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img161862.jpg,COCO_val2017,real,0,200,200,0.9731618165969849,0.55657113,1,fake,0,false_positive,12
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img160063.jpg,COCO_val2017,real,0,200,200,0.9715864062309265,0.55657113,1,fake,0,false_positive,13
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img162575.jpg,COCO_val2017,real,0,200,200,0.94553542137146,0.55657113,1,fake,0,false_positive,14
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img159327.jpg,COCO_val2017,real,0,200,200,0.9373223781585693,0.55657113,1,fake,0,false_positive,15
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img159274.jpg,COCO_val2017,real,0,200,200,0.9347332119941711,0.55657113,1,fake,0,false_positive,16
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img160334.jpg,COCO_val2017,real,0,200,200,0.9337797164916992,0.55657113,1,fake,0,false_positive,17
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img161227.jpg,COCO_val2017,real,0,200,200,0.9253214597702026,0.55657113,1,fake,0,false_positive,18
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img159192.jpg,COCO_val2017,real,0,200,200,0.9234132170677185,0.55657113,1,fake,0,false_positive,19
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img159585.jpg,COCO_val2017,real,0,200,200,0.9217665195465088,0.55657113,1,fake,0,false_positive,20
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img159457.jpg,COCO_val2017,real,0,200,200,0.9128398299217224,0.55657113,1,fake,0,false_positive,21
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img162081.jpg,COCO_val2017,real,0,200,200,0.9017862677574158,0.55657113,1,fake,0,false_positive,22
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img160806.jpg,COCO_val2017,real,0,200,200,0.8998125791549683,0.55657113,1,fake,0,false_positive,23
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img161110.jpg,COCO_val2017,real,0,200,200,0.8784878253936768,0.55657113,1,fake,0,false_positive,24
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img161108.jpg,COCO_val2017,real,0,200,200,0.823716938495636,0.55657113,1,fake,0,false_positive,25
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img160609.jpg,COCO_val2017,real,0,200,200,0.8222721219062805,0.55657113,1,fake,0,false_positive,26
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img159452.jpg,COCO_val2017,real,0,200,200,0.821908712387085,0.55657113,1,fake,0,false_positive,27
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img161332.jpg,COCO_val2017,real,0,200,200,0.8136136531829834,0.55657113,1,fake,0,false_positive,28
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img163198.jpg,COCO_val2017,real,0,200,200,0.7877501249313354,0.55657113,1,fake,0,false_positive,29
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img160679.jpg,COCO_val2017,real,0,200,200,0.7815378308296204,0.55657113,1,fake,0,false_positive,30
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img161673.jpg,COCO_val2017,real,0,200,200,0.7498344779014587,0.55657113,1,fake,0,false_positive,31
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img161794.jpg,COCO_val2017,real,0,200,200,0.7489604949951172,0.55657113,1,fake,0,false_positive,32
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img163146.jpg,COCO_val2017,real,0,200,200,0.6641825437545776,0.55657113,1,fake,0,false_positive,33
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img162333.jpg,COCO_val2017,real,0,200,200,0.6190053224563599,0.55657113,1,fake,0,false_positive,34
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img160095.jpg,COCO_val2017,real,0,200,200,0.6169707179069519,0.55657113,1,fake,0,false_positive,35
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img162980.jpg,COCO_val2017,real,0,200,200,0.6123677492141724,0.55657113,1,fake,0,false_positive,36
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\real\coco2017\val2017\img162311.jpg,COCO_val2017,real,0,200,200,0.5999724268913269,0.55657113,1,fake,0,false_positive,37
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\fake\Advanced\DALLE3\dalle3\20231102143933b82206831d45b85d\c05ae24ee2b39f9f685dfd856a2e9dc0.jpg,DALLE_Advanced,fake,1,1024,1024,1.9220778995077126e-06,0.55657113,0,real,0,false_negative,1
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\fake\Advanced\DALLE3\dalle3\2023110215025084768300d30fc34f\c05ae24ee2b39f9f685dfd856a2e9dc0.jpg,DALLE_Advanced,fake,1,1024,1024,1.9220778995077126e-06,0.55657113,0,real,0,false_negative,2
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\fake\Advanced\DALLE3\dalle3\20231103102150b17aad067ad7e034\c05ae24ee2b39f9f685dfd856a2e9dc0.jpg,DALLE_Advanced,fake,1,1024,1024,1.9220778995077126e-06,0.55657113,0,real,0,false_negative,3
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\fake\Advanced\DALLE3\dalle3\202311070924598319e76b1a88ba6c\c05ae24ee2b39f9f685dfd856a2e9dc0.jpg,DALLE_Advanced,fake,1,1024,1024,1.9220778995077126e-06,0.55657113,0,real,0,false_negative,4
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\fake\Advanced\DALLE3\dalle3\20231102143933b82206831d45b85d\6f0f61883f111368d770c54801f33449.jpg,DALLE_Advanced,fake,1,1024,1024,2.6049631287605735e-06,0.55657113,0,real,0,false_negative,5
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\fake\Advanced\DALLE3\dalle3\2023110215025084768300d30fc34f\6f0f61883f111368d770c54801f33449.jpg,DALLE_Advanced,fake,1,1024,1024,2.6049631287605735e-06,0.55657113,0,real,0,false_negative,6
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\fake\Advanced\DALLE3\dalle3\20231103102150b17aad067ad7e034\6f0f61883f111368d770c54801f33449.jpg,DALLE_Advanced,fake,1,1024,1024,2.6049631287605735e-06,0.55657113,0,real,0,false_negative,7
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\fake\Advanced\DALLE3\dalle3\202311070924598319e76b1a88ba6c\6f0f61883f111368d770c54801f33449.jpg,DALLE_Advanced,fake,1,1024,1024,2.6049631287605735e-06,0.55657113,0,real,0,false_negative,8
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\fake\Advanced\DALLE3\dalle3\202311011943129901ca391019566e\b33a9da36fea0d7ee3b4525c2573a1e5.jpg,DALLE_Advanced,fake,1,1024,1024,2.6330792479711818e-06,0.55657113,0,real,0,false_negative,9
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\fake\Advanced\DALLE3\dalle3\20231102143933b82206831d45b85d\f60a678b5c61dee4997ef5299185988c.jpg,DALLE_Advanced,fake,1,346,346,3.941264367313124e-06,0.55657113,0,real,0,false_negative,10
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\fake\Advanced\DALLE3\dalle3\2023110215025084768300d30fc34f\f60a678b5c61dee4997ef5299185988c.jpg,DALLE_Advanced,fake,1,346,346,3.941264367313124e-06,0.55657113,0,real,0,false_negative,11
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\fake\Advanced\DALLE3\dalle3\20231103102150b17aad067ad7e034\f60a678b5c61dee4997ef5299185988c.jpg,DALLE_Advanced,fake,1,346,346,3.941264367313124e-06,0.55657113,0,real,0,false_negative,12
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\fake\Advanced\DALLE3\dalle3\202311070924598319e76b1a88ba6c\f60a678b5c61dee4997ef5299185988c.jpg,DALLE_Advanced,fake,1,346,346,3.941264367313124e-06,0.55657113,0,real,0,false_negative,13
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\fake\Advanced\DALLE3\dalle3\202311070924598319e76b1a88ba6c\028b1feecc4b4099cfa277a93c725eea.jpg,DALLE_Advanced,fake,1,1024,1024,5.279875495034503e-06,0.55657113,0,real,0,false_negative,14
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\fake\Advanced\DALLE3\dalle3\20231102143933b82206831d45b85d\25070761234eadcd2dee2130d2e3f40b.jpg,DALLE_Advanced,fake,1,1024,1024,6.197450602485333e-06,0.55657113,0,real,0,false_negative,15
baseline2_njr,E:\TikTokTechJam\Track5Data(1)\Track5Data\official_demo_validation\fake\Advanced\DALLE3\dalle3\2023110215025084768300d30fc34f\25070761234eadcd2dee2130d2e3f40b.jpg,DALLE_Advanced,fake,1,1024,1024,6.197450602485333e-06,0.55657113,0,real,0,false_negative,16
